CustomID	Label	URL	ID
77	INADINA ADIGEBZE, INADINA ANADIL...	https://www.facebook.com/groups/112224505516833/	112224505516833
78	Горная Абхазия | Ишьхат?ылоу А?сны | Highland Abkhazia	https://www.facebook.com/groups/298439650345017/	298439650345017
79	Черкесия	https://www.facebook.com/groups/552531211515029/	552531211515029
80	Права человека и гражданина	https://www.facebook.com/groups/1189593041084919/	1189593041084919
82	Черкесская кухня (Адыгэ Шхыныгъуэ)	https://www.facebook.com/groups/1681894932090931/	1681894932090931
83	История, археология и этнография Кавказа	https://www.facebook.com/groups/837065156308610/	837065156308610
84	А?СЫШ?АЛА	https://www.facebook.com/groups/415669848633255/	415669848633255
85	ЮгТелСет	https://www.facebook.com/groups/1530493777196419/	1530493777196419
87	Ди бзэ | Тибзэ	https://www.facebook.com/groups/228554770933031/	228554770933031
88	Центр Гражданских Инициатив СКФО + Патриоты Ставрополья	https://www.facebook.com/groups/315283778531386/	315283778531386
89	Журнал Ставропольский край	https://www.facebook.com/groups/1460456167521172/	1460456167521172
90	АДЫГЭ ШХЫНЫГЪУЭХЭР	https://www.facebook.com/groups/1400837963509579/	1400837963509579
91	Культура Абхазии. Culture of Abkhazia. Ап,сны акультура	https://www.facebook.com/groups/567692083268455/	567692083268455
93	Кавказ-наш общий дом	https://www.facebook.com/groups/883571951754771/	883571951754771
94	K@R@C@Y M@LK@R TV	https://www.facebook.com/groups/530884830284486/	530884830284486
96	Кавказские новости	https://www.facebook.com/groups/1104192833060634/	1104192833060634
97	Обозреватель КЧР	https://www.facebook.com/groups/1237467386316169/	1237467386316169
99	Cerkes TV	https://www.facebook.com/groups/358484840857551/	358484840857551
100	Fazil Iskander	https://www.facebook.com/groups/166726863616/	166726863616
101	ЗА ВОЗВРАЩЕНИЕ МАХАДЖИРОВ! ANAVATANA DONUS GURUBU!АМХАДЖЫРКУА РЫРГЬЕЖЬРАЗЫ!	https://www.facebook.com/groups/143750132417681/	143750132417681
102	КАРАЧАЕВСКИЙ РЕНЕССАНС	https://www.facebook.com/groups/302316699979234/	302316699979234
103	Социальные проблемы Абхазии	https://www.facebook.com/groups/1442291636065842/	1442291636065842
105	Зэфэс	https://www.facebook.com/groups/1519942444893922/	1519942444893922
107	Ана тил.	https://www.facebook.com/groups/1214784781883075/	1214784781883075
